9,313,18,0,0
8,100,47,0,0
7,236,74,0,0
6,394,96,0,0
5,276,30,0,0
4,37,32,0,0
3,75,34,0,0
2,313,45,0,0
1,57,81,0,0
0,116,6,0,0
10,10,0,21
19,236,88,0,2
18,148,35,0,2
17,90,27,0,2
16,373,3,0,2
15,243,14,0,2
14,150,78,0,2
13,74,79,0,2
12,392,79,0,2
11,125,31,0,2
10,72,95,0,2
9,28,97,0,0
8,10,45,0,0
7,109,62,0,0
6,371,28,0,0
5,232,19,0,0
4,150,40,0,0
3,216,24,0,0
2,36,8,0,0
1,85,65,0,0
0,94,6,0,0
10,10,0,22
19,107,73,0,2
18,122,6,0,2
17,223,94,0,2
16,126,98,0,2
15,11,39,0,2
14,226,7,0,2
13,324,77,0,2
12,101,72,0,2
11,11,11,0,2
10,188,44,0,2
9,295,25,0,0
8,289,9,0,0
7,330,67,0,0
6,397,44,0,0
5,148,45,0,0
4,16,27,0,0
3,297,88,0,0
2,176,94,0,0
1,106,27,0,0
0,15,70,0,0
10,10,0,23
19,216,88,0,2
18,24,79,0,2
17,147,35,0,2
16,71,60,0,2
15,34,70,0,2
14,232,75,0,2
13,42,79,0,2
12,8,79,0,2
11,292,23,0,2
10,124,74,0,2
9,9,34,0,0
8,373,65,0,0
7,220,60,0,0
6,393,96,0,0
5,2,90,0,0
4,324,75,0,0
3,188,0,0,0
2,107,8,0,0
1,145,85,0,0
0,337,74,0,0
10,10,0,24
19,11,40,0,2
18,93,58,0,2
17,385,58,0,2
16,389,26,0,2
15,93,68,0,2
14,318,71,0,2
13,304,12,0,2
12,166,1,0,2
11,238,15,0,2
10,361,99,0,2
9,256,92,0,0
8,175,72,0,0
7,318,90,0,0
6,85,96,0,0
5,80,89,0,0
4,276,23,0,0
3,70,40,0,0
2,22,83,0,0
1,107,52,0,0
0,273,71,0,0
10,10,0,25
19,229,37,0,2
18,321,9,0,2
17,1,88,0,2
16,38,51,0,2
15,351,97,0,2
14,38,11,0,2
13,264,59,0,2
12,128,56,0,2
11,113,7,0,2
10,322,53,0,2
9,254,38,0,0
8,89,18,0,0
7,306,59,0,0
6,323,59,0,0
5,355,4,0,0
4,197,98,0,0
3,85,68,0,0
2,56,53,0,0
